"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"114","Maurkice Pouncey",NA,"49_PIT_C",NA,NA,"83_PIT_C",NA,NA,NA,NA,NA,NA
"115","Von Miller",NA,"52_DEN_LB","9_DEN_LB","76_DEN_LB","33_DEN_LB","15_DEN_LB","2_DEN_LB","9_DEN_LB","10_DEN_LB","26_DEN_LB",NA
"116","Brian Cushing",NA,"54_HOU_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Patrick Peterson",NA,"55_ARI_CB","33_ARI_CB","22_ARI_CB","19_ARI_CB","18_ARI_CB","19_ARI_CB","23_ARI_CB","46_ARI_CB",NA,NA
"118","Earl Thomas",NA,"66_SEA_S","66_SEA_S","17_SEA_S","21_SEA_S","66_SEA_S","30_SEA_S","42_SEA_S",NA,"75_BAL_S",NA
"119","Joe Staley",NA,"67_SF_OT","78_SF_OT","75_SF_OT",NA,NA,NA,NA,NA,NA,NA
"120","Elvis Dumervil",NA,"68_DEN_DE",NA,NA,"46_BAL_LB",NA,NA,NA,NA,NA,NA
"121","Carlos Rogers",NA,"69_SF_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Johnathan Joseph",NA,"73_HOU_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","A. J. Green",NA,"77_CIN_WR","16_CIN_WR","9_CIN_WR","37_CIN_WR",NA,NA,"22_CIN_WR","58_CIN_WR",NA,NA
"124","Derrick Johnson",NA,"78_KC_LB","59_KC_LB","64_KC_LB",NA,"80_KC_LB",NA,NA,NA,NA,NA
"125","Jordy Nelson",NA,"80_GB_WR",NA,"83_GB_WR","18_GB_WR",NA,"48_GB_WR",NA,NA,NA,NA
"126","Fred Jackson",NA,"83_BUF_RB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Chris Long",NA,"84_LAR_DE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","NaVorro Bowman",NA,"85_SF_LB","37_SF_LB","47_SF_LB",NA,"61_SF_LB",NA,NA,NA,NA,NA
"129","Darren Sproles",NA,"86_NOR_RB",NA,NA,"81_PHI_RB",NA,NA,NA,NA,NA,NA
"130","London Fletcher",NA,"87_WAS_LB","86_WAS_LB",NA,NA,NA,NA,NA,NA,NA,NA
"131","Hakeem Nicks",NA,"90_NYG_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","John Kuhn",NA,"92_GB_FB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Cortland Finnegan",NA,"93_TEN_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Marshawn Lynch",NA,"94_SEA_RB","24_SEA_RB","14_SEA_RB","9_SEA_RB",NA,NA,NA,NA,NA,NA
